Codice Articolo,Descrizione Articolo,Inventario,Lob Associata,Lob Associata Cleaned,LOB Cleaning Decision,desc_token_count,desc_token_outlier
CG-CST-B2- ACT,32 hours CST support- 25 months sub contract activiation,Non in inventario,15007,15007,unchanged,9,0
CG-CST-B-ACT,16 hours CST support- 13 months subcontract,Non in inventario,15007,15007,unchanged,7,0
CG-CST-B-RNW,CYBER GURU SERVICES - CST PACK,Non in inventario,15008,15008,unchanged,5,0
CG-CST-C3-RNW,CST support pack,Non in inventario,15007,15007,unchanged,3,0
CG-CST-C-RNW,CYBER GURU CST PACK 24 hours CST support - 12 months sub contract 1.001-3.000,Non in inventario,15008,15008,unchanged,16,0
CG-CST-D-ACT,48 hours CST support - 13 months sub contract activation,Non in inventario,15007,15007,unchanged,9,0
CG-CST-D-RNW,48 hours CST support- 12 months sub contract,Non in inventario,15008,15008,unchanged,8,0
CG-CST-E-RNW,CYBER GURU CST PACK 48 hours CST support - 12 months sub contract 5.001-10.000,Non in inventario,15008,15008,unchanged,16,0
CGDMX-512BI,INTERFACCIA DMX,Inventario,4008,4008,unchanged,2,0
CGEIB-IP,KNX/IP-Gateway,Inventario,4009,4009,unchanged,3,0
CG-ENT-AA100-1-RNW,CYBER GURU ENTERPRISE (CGA+CGP) Flat Fee - 12 Months sub contract renewal up to 100,Non in inventario,15008,15008,unchanged,15,0
CG-ENT-AA150-1,CYBER GURU ENTERPRISE (CGA+CGP) Flat Fee - 1 Year sub contract up to 150,Non in inventario,15008,15008,unchanged,14,0
CG-ENT-AA200-1,CYBER GURU ENTERPRISE (CGA+CGP) Flat Fee - 1 Year sub contract up to 200,Non in inventario,15008,15008,unchanged,14,0
CG-ENT-B1-ACT,CYBER GURU ENTERPRISE (CGA+CGP) - 1 Year sub contract,Non in inventario,15007,15007,unchanged,9,0
CG-ENT-B1-ADD,CYBER GURU ENTERPRISE (CGA+CGP) 12 Months sub contract add-on 251-999,Non in inventario,15007,15007,unchanged,13,0
CG-ENT-B1-RNW,CYBER GURU ENTERPRISE (Awareness + Phishing) - Renewal,Non in inventario,15008,15008,unchanged,6,0
CG-ENT-C1-ACT,CYBER GURU ENTERPRISE (CGA+CGP) - Flat Fee - 1 Year sub contract,Non in inventario,15007,15007,unchanged,11,0
CG-ENT-D1,CYBER GURU ENTERPRISE (CGA+CGP) 1 Year sub contract3.000-4.999,Inventario,6004,6004,unchanged,12,0
CG-ENT-D1-ADD,CYBER GURU ENTERPRISE (Awareness + Phishing),Non in inventario,15008,15008,unchanged,5,0
CG-ENT-D1-RNW,CYBER GURU ENTERPRISE (CGA+CGP) - 12 Months sub contract renewal,Non in inventario,15008,15008,unchanged,10,0
CG-ENT-E1-R,CYBER GURU ENTERPRISE (CGA+CGP) 1 Year sub contract5.000-9.999,Non in inventario,15008,15008,unchanged,12,0
CG-ENT-E1-RNW,CYBER GURU ENTERPRISE (CGA+CGP) 12 Months sub contract renewal 5.000-9.999,Non in inventario,15008,15008,unchanged,14,0
CG-EPL-AA100-1-ACT,CYBER GURU ENTERPRISE PLUS (CGP+CGC+CGA) Flat Fee - 13 Months sub contract activation up to 100,Non in inventario,15007,15007,unchanged,17,0
CG-EPL-AA100-1-RNW,CYBER GURU ENTERPRISE PLUS (CGP+CGC+CGA) Flat Fee - 12 Months sub contract renewal up to 100,Non in inventario,15008,15008,unchanged,17,0
CG-EPL-AA150-1-ACT,CYBER GURU ENTERPRISE PLUS (CGP+CGC+CGA) Flat Fee - 13 Months sub contractactivation up to 150,Non in inventario,15007,15007,unchanged,16,0
CG-EPLAA150-1-RNW,Cyber Guru Enterprise Plus (Awareness+Phishing+Channel) (150 users 24 months),Non in inventario,15008,15008,unchanged,11,0
CG-EPL-AA150-1-RNW,CYBER GURU ENTERPRISE PLUS (CGP+CGC+CGA) Flat Fee - 12 Months sub contract renewal up to 150,Non in inventario,15008,15008,unchanged,17,0
CG-EPL-AA200-1-ACT,CYBER GURU ENTERPRISE PLUS (CGA -CGP - CGC) - Flat Fee - 13 Months sub contract activation,Non in inventario,15008,15008,unchanged,14,0
CG-EPL-AA200-1-RNW,CYBER GURU ENTERPRISE PLUS (CGP+CGC+CGA) Flat Fee - 12 Months sub contract renewal up to 200,Non in inventario,15008,15008,unchanged,17,0
CG-EPL-AA50-1,CYBER GURU ENTERPRISE PLUS (CGP+CGC+CGA) Flat Fee - 1 Year sub contract up to 50,Non in inventario,15007,15007,unchanged,16,0
CG-EPL-B1,CYBER GURU ENTERPRISE PLUS (CGP+CGC+CGA) 1 Year sub contract251-999,Non in inventario,15007,15007,unchanged,12,0
CG-EPL-B1-ACT,CYBER GURU ENTERPRISE PLUS (CGP+CGC+CGA) - 13 Months sub contract activation,Non in inventario,15007,15007,unchanged,12,0
CG-EPL-B1-ADD,CYBER GURU ENTERPRISE PLUS (CGA+CGP+CGC) - 14 Months sub contract add-on,Non in inventario,15007,15007,unchanged,13,0
CG-EPL-B1-RNW,CYBER GURU ENTERPRISE PLUS (CGA+CGP+CGC) - 12 Months sub contract renewal,Non in inventario,15008,15008,unchanged,12,0
CG-EPL-B3,3Y Servizio CyberGuru,Non in inventario,15008,15008,unchanged,3,0
CG-EPL-C1-ACT,CYBER GURU ENTERPRISE PLUS (CGP+CGC+CGA) - 37 Months sub contract activation,Non in inventario,15007,15007,unchanged,12,0
CGM-1-ONB,CYBER GURU ONBOARDING 1 Month sub contract activation,Non in inventario,15007,15007,unchanged,8,0
CGM-4G-LTE-EA-AB,4G/LTE CGM for North America and Europe,Inventario,2002,2002,unchanged,8,0
CGM-AWA-A1,CGM-AWA-A1 CYBER GURU AWARENESS fascia 50- 12 Months,Non in inventario,15007,15007,unchanged,10,0
CGM-AWA-A3,CYBER GURU AWARENESS fascia 50 - 36 months,Non in inventario,15007,15007,unchanged,7,0
CGM-AWA-B1,Cyber Guru Awareness 12 months (85 users),Non in inventario,15007,15007,unchanged,7,0
CGM-AWA-B2,CYBER GURU AWARENESS fascia 51-100,Non in inventario,15008,15008,unchanged,6,0
CGM-AWA-C1,CYBER GURU AWARENESS fascia 101-250 - 12 Months,Non in inventario,15008,15008,unchanged,8,0
CGM-AWA-D1,CYBER GURU AWARENESS 12 Months sub contract 251,Non in inventario,15008,15008,unchanged,8,0
CGM-AWA-E1,CYBER GURU AWARENESS 12 Months sub contract 501,Non in inventario,15008,15008,unchanged,8,0
CGM-AWA-F1,CYBER GURU AWARENESS 16 Months sub contract,Non in inventario,15008,15008,unchanged,7,0
CGM-AWA-G2,CYBER GURU AWARENESS fascia3.001-5.000 - 24 Months,Non in inventario,15007,15007,unchanged,9,0
CGM-AWA-H1,CYBER GURU AWARENESS fascia 5.001-10.000 - 12 Months,Non in inventario,15008,15008,unchanged,10,0
CGM-AWA-I1,CYBER GURU AWARENESS - 18 mesi,Non in inventario,15008,15008,unchanged,5,0
CGM-BWD-G2,BROWSER DEFENDER fascia 3.001-5.000 - 24 Months,Non in inventario,15007,15007,unchanged,9,0
CGM-CBOT-C1,CYBER GURU CHATBOT fascia 101-250 - 12 Months,Non in inventario,15008,15008,unchanged,8,0
CGM-CHA-A1,CYBER GURU CHANNEL fascia 50 -12 Months,Non in inventario,15007,15007,unchanged,7,0
CGM-CHA-A3,CYBER GURU CHANNEL fascia 50 - 36 months,Non in inventario,15007,15007,unchanged,7,0
CGM-CHA-B1,Cyber Gury Channel 12 months (85 users),Non in inventario,15007,15007,unchanged,7,0
CGM-CHA-C1,CYBER GURU CHANNEL fascia 101- 250 - 12 Months,Non in inventario,15008,15008,unchanged,8,0
CGM-CHA-D1,CYBER GURU CHANNEL fascia 251- 500 - 13 Months,Non in inventario,15008,15008,unchanged,8,0
CGM-CHA-E1,CYBER GURU CHANNEL 12 Months sub contract 5001,Non in inventario,15008,15008,unchanged,8,0
CGM-CHA-G1,CYBER GURU CHANNEL fascia 3.001-5.000 - 12 Months,Non in inventario,15007,15007,unchanged,10,0
CGM-CHA-G2,CYBER GURU CHANNEL fascia 3.001-5.000 - 24 Months,Non in inventario,15007,15007,unchanged,10,0
CGM-CST-A,CYBER GURU CST PACK fascia 50 -12 Months 8 hours,Non in inventario,15007,15007,unchanged,10,0
CGM-CST-A3,CYBER GURU CST PACK fascia 50 - 36 months,Non in inventario,15007,15007,unchanged,8,0
CGM-CST-B,8 hours CST pack- 12 months sub contract,Non in inventario,15007,15007,unchanged,8,0
CGM-CST-B2,CYBER GURU CST PACK fascia 51-10,Non in inventario,15008,15008,unchanged,7,0
CGM-CST-C,CYBER GURU CST SUPPORT - 12 Months - 8 hours,Non in inventario,15008,15008,unchanged,8,0
CGM-CST-D,CYBER GURU CST PACK 16 hours CST support - 13 months sub contract 251,Non in inventario,15008,15008,unchanged,13,0
CGM-CST-E,CYBER GURU CST PACK fascia 501-1.000 - 12 Months 16 hours,Non in inventario,15008,15008,unchanged,12,0
CGM-CST-F,CYBER GURU CST PACK 24 hours CST support - 16 months sub contract,Non in inventario,15008,15008,unchanged,12,0
CGM-CST-G,48 hours CST support - 18 months subcontract,Non in inventario,15008,15008,unchanged,7,0
CGM-CST-G2,CYBER GURU CST PACK fascia 3.001-5.000 - 24 Months 48 hours (24hours/Yr),Non in inventario,15007,15007,unchanged,15,0
CGM-CST-H,CYBER GURU CST PACK fascia 5.001-10.000 - 12 Months 48 hours,Non in inventario,15008,15008,unchanged,13,0
CGM-NIS2- PVT-B1,CYBER GURU NIS2 - 50 licenses - 12 Months,Non in inventario,15007,15007,unchanged,7,0
CGM-NIS2-GVT-DIP-B2,CYBER GURU NIS2 - up to 5 licenses- 24 Months,Non in inventario,15007,15007,unchanged,9,0
CGM-NIS2-PVT-A1,CYBER GURU NIS2 - PRIVATE 12 Months sub contract - 15 licenses included up to 250,Non in inventario,15007,15007,unchanged,14,0
CGM-NIS2-PVT-B1,CYBER GURU NIS2 - 50 licenses - 12Months,Non in inventario,15007,15007,unchanged,6,0
CGM-NIS2-PVT-E1,CYBER GURU NIS2 500 licenses - 12 Months,Non in inventario,15008,15008,unchanged,7,0
CGM-PHI-A1,CYBER GURU PHISHING fascia 50 -12 Months,Non in inventario,15007,15007,unchanged,7,0
CGM-PHI-A3,CYBER GURU PHISHING fascia 50 - 36 months,Non in inventario,15007,15007,unchanged,7,0
CGM-PHI-B1,Cyber Guru Phishing 12 months (85 users),Non in inventario,15007,15007,unchanged,7,0
CGM-PHI-B2,CYBER GURU PHISHING fascia 51-100,Non in inventario,15008,15008,unchanged,6,0
CGM-PHI-C1,CYBER GURU PHISHING fascia 101- 250 - 12 Months,Non in inventario,15008,15008,unchanged,8,0
CGM-PHI-D1,PHISHING 12 Months sub contract 251,Non in inventario,15008,15008,unchanged,6,0
CGM-PHI-E1,PHISHING 12 Months sub contract 501,Non in inventario,15008,15008,unchanged,6,0
CGM-PHI-F1,PHISHING 16 Months sub contract,Non in inventario,15008,15008,unchanged,5,0
CGM-PHI-G2,CYBER GURU PHISHING fascia3.001-5.000 - 24 Months,Non in inventario,15007,15007,unchanged,9,0
CGM-PHI-H1,CYBER GURU PHISHING fascia 5.001-10.000 - 12 Months,Non in inventario,15008,15008,unchanged,10,0
CGM-PHI-I1,CYBER GURU PHISHING fascia10.001-25.000 - 18 Months,Non in inventario,15008,15008,unchanged,9,0
CGM-PPRO-A3,CYBER GURU PHISHPRO fascia 50 -36 months,Non in inventario,15007,15007,unchanged,7,0
CGM-PPRO-D1,CYBER GURU PHISHPRO fascia 251-500 - 13 Months,Non in inventario,15008,15008,unchanged,8,0
CGM-PPRO-E1,CYBER GURU PHISHPRO (quotabile solo in aggiunta a CGP),Non in inventario,15008,15008,unchanged,9,0
CGM-PPRO-F1,CYBER GURU PHISHPRO 16 Months sub contract,Non in inventario,15008,15008,unchanged,7,0
CGM-PPRO-G2,CYBER GURU PHISHPRO fascia3.001-5.000 - 24 Months,Non in inventario,15007,15007,unchanged,9,0
CGM-PPRO-H1,CYBER GURU PHISHPRO fascia 5.001-10.000 - 12 Months,Non in inventario,15008,15008,unchanged,10,0
CGM-SMT-D1,SMART BANNERS fascia 251-500 - 13 Months,Non in inventario,15008,15008,unchanged,7,0
CGM-SRV-128,128GB Server Module for the CGR1000,Inventario,2001,2001,unchanged,6,0
CGM-SRV-64,64GB Server Module for the CGR1000,Inventario,2002,2002,unchanged,6,0
CG-NIS2-PVT-B1-ACT,CYBER GURU NIS2 - PRIVATE 13 Months sub contract activation - 20 licenses included Up to 20,Non in inventario,15007,15007,unchanged,15,0
CGNIS2PVTSUB250A1ACT,Cyber Guru NIS2 - DORA 13 Months sub contract activation- 5 licenses included - up to 5 users,Non in inventario,15007,15007,unchanged,16,0
CG-PHI-B1,CYBER GURU PHISHING 1 Year sub contract251-999,Non in inventario,6004,6004,unchanged,8,0
CG-PHI-B1-ACT,CYBER GURU PHISHING - 13 Months sub contract activation,Non in inventario,15007,15007,unchanged,8,0
CG-PHI-B1-ADD,CYBER GURU PHISHING 12 Months sub contract add-on 251-999,Non in inventario,15007,15007,unchanged,11,0
CG-PHI-B1-RNW,CYBER GURU PHISHING 12 Months sub contract renewal 251-999,Non in inventario,15008,15008,unchanged,10,0
CG-PHI-C1-ACT,YBER GURU PHISHING (CGP) - 13 Months sub contract activation,Non in inventario,15007,15007,unchanged,9,0
CG-PHI-C1-RNW,CYBER GURU PHISHING 12 Months sub contract renewal 1.000-2.999,Non in inventario,15008,15008,unchanged,12,0
CG-PLL-CS,CYBER GURU SERVICES Custom Pills - min 6 pills N/A,Non in inventario,15007,15007,unchanged,10,0
CGR1120/K9,"CGR 1120 w/ 2 module slots,2 GE,2 serial,6 FE LAN,Wi-Fi,GPS",Inventario,2002,2002,unchanged,16,0
CG-SSO-PS,CYBER GURU SERVICES Custom Single Sign On (SSO-SAML) N/A,Non in inventario,15007,15007,unchanged,11,0
CH055,"CAVO SERIALE DB25 M/M 1,8Mt",Inventario,1002,1002,unchanged,7,0
CHAMP4,Amplificatore di potenza compatto 1 unità rack 4x80WRMS,Inventario,4009,4009,unchanged,8,0
CHCMA330,Piastra OFFSET a soffitto rettangolare,Inventario,4009,4009,unchanged,5,0
CHCMS012018,Chief Estensione di montaggio ITB per Proiettore - Bianco - 226 kg Capacità di caric,Inventario,3004,3004,unchanged,13,0
CHCPA330,"Chief Supporto da soffitto ITB per Ceiling Mount, Colonna di montaggio - Nero - TAA Conforme - 227 k",Inventario,3004,3004,unchanged,16,0
CHFCA112,ITB Solution/Chief supporto per pc esterno,Inventario,4009,4009,unchanged,7,0
CHFCA503,Mensola Webcam Wide per Carrelli nuova serie Fusio,Inventario,4009,4009,unchanged,8,0
CHFCA611B,Mensola DVD/ Codec Big per Carrelli nuova serie Fusion,Inventario,4009,4009,unchanged,9,0
CHFCA613B,Mensola DVD e codec per Carrelli nuova serie Fusion,Inventario,4009,4009,unchanged,9,0
CHFCA650,Box CPU Big per Carrelli serie Fusion,Inventario,4009,4009,unchanged,7,0
CHFCA811,x Mensola Medium per WebCam per schermi XL,Inventario,4002,4002,unchanged,8,0
CHFCAXV1U,Fusion Extra-Large Pull Out Accessory,Inventario,4009,4009,unchanged,6,0
CHFSR1U,Staffa fissa a parete,Inventario,3004,3004,unchanged,4,0
CHG 70N-C + PSU KIT,Sennheiser CHG 70N-C + PSU Kit EW-DX Series Charger + Power Supply,Inventario,4007,4007,unchanged,12,0
CHG-ET5X-CBL1-01,"Zebra Cavo di alimentazione standard Zebra - Per Tavoletta,",Inventario,3004,3004,unchanged,8,0
CH-HRMOT1A-IW,Modulo dotato di n. 1 relè per il controllo di n. 1 motorizz,Inventario,4009,4009,unchanged,13,0
CHLPAUB,Carrello Fusion Vesa 800×400 telescopico 110-170 nero,Inventario,4009,4009,unchanged,9,0
CHLSM1U,"staffa a parete per monitor 82""",Inventario,4009,4009,unchanged,6,0
CHLTM1U,ITB Solution/Chief staffa inclinabile a parete per monitor 8,Inventario,4009,4009,unchanged,10,0
CHMCM1U,"Chief Placca di montaggio ITB per Monitor, TV - Nero - 1 Schermo/i supportato/i - 139,7 cm (55"") Sup",Inventario,3004,3004,unchanged,19,1
CHMF1US,Piantana Fusion Vesa 600×400 telescopica 120-210 silver,Inventario,4009,4009,unchanged,9,0
CHMFAUS,Piantana Fusion Vesa 600×400 telescopica 110-170 silver,Inventario,4009,4009,unchanged,9,0
CHMPAUB,Carrello Fusion Vesa 600×400 telescopico 110-170 nero,Inventario,4009,4009,unchanged,9,0
CHMSA1U,"ITB Solution/Chief staffa fissa a parete per monitor 65""",Inventario,4009,4009,unchanged,10,0
CHPF1UB,Piantana Fusion Vesa 800×400 telescopica 130-210 nera,Inventario,4009,4009,unchanged,9,0
CHRFCUB,Carrello Standard vesa max 800×600 con mensola,Inventario,4007,4007,unchanged,8,0
CHRLF2,Staffa Standard fissa vesa da 100x 100 a 600×400 – Black,Inventario,4009,4009,unchanged,11,0
CHRLT3,STAFFA STANDARD INCLINABILE VESA 900X400 MAX 90KG. 86IN,Inventario,4009,4009,unchanged,8,0
CHRMF2,"ITB Solution staffa fissa orientamento orizzontale, distanza",Inventario,4009,4009,unchanged,7,0
CHRMF3,staffa fissa orientamento orizzontale,Inventario,4009,4009,unchanged,4,0
CHRMT2,ITB Solution/Chief staffa inclinabile a parete per monitor 5,Inventario,4009,4009,unchanged,10,0
CHRMT3,Staffa vesa 400x400 standard,Inventario,4007,4007,unchanged,4,0
CHRXF2,Staffa Standard fissa vesa 800*400 - BLACK,Inventario,4009,4009,unchanged,7,0
CHRXF3,"Staffa montaggio ITB X-Large FIT per Monitor, Display - Nero 900 x 600",Inventario,4009,4009,unchanged,13,0
CHXSM1U,"ITB Staffa montaggio ITB per Monitor, Sistema per videoconfe",Inventario,4009,4009,unchanged,9,0
CHXTM1U,Staffa Top Inclinabile con microregolazioni vesa 1000×600,Inventario,4009,4009,unchanged,8,0
C-IC6BL,"Diffusore ad Incasso serie DESONO coassiale con woofer da 6,5"" e tweeter da 1""",Inventario,4009,4009,unchanged,15,0
C-IC6-W,"Desono C-IC6. Diffusore ad Incasso serie DESONO coassiale con woofer da 6,5"" e tweeter da 1""",Inventario,4009,4009,unchanged,18,1
C-IC6WH,"Diffusore ad Incasso serie DESONO coassiale con woofer da 6,5"" e tweeter da 1"", Basso profilo",Inventario,4009,4009,unchanged,17,0
CIDARWIN4,BARRIERA A RAGGI INFR. ATTIVI DA ESTERNO 100 CM.,Inventario,2014,2014,unchanged,9,0
CIDARWIN8,Barriera per finestra lungh. 2,Inventario,2014,2014,unchanged,5,0
CI-KNX,Crestron KNX IP Interface,Inventario,4009,4009,unchanged,4,0
CIMC-LATEST,IMC SW (Recommended) latest release for C-Series Servers.,Inventario,2002,2002,unchanged,9,0
CIMC-LATEST-D,IMC SW (Recommended) latest release for C-Series Servers.,Inventario,2002,2002,unchanged,9,0
CIMC-SUP-BASE-K9=,IMC Supervisor One-time Site Installation License,Inventario,3030,3030,unchanged,7,0
CIMC-SUP-TERM,Acceptance of Cisco IMC Supervisor License Terms,Inventario,3030,3030,unchanged,7,0
CINECAMPOCHDMFT4,"Blackmagic Pocket Cinema Camera 4K - Portable digitalfilm camera with 4k resolution image sensor, MF",Inventario,4009,4009,unchanged,14,0
CIRA530DI/W,"2-way 5 1/4"" ceiling speaker 16ohm",Inventario,4007,4007,unchanged,8,0
CISCO1801,ROUTER/ADSL WITH 8-PORTS,Inventario,2003,2003,unchanged,5,0
CISCO1801/K9,ROUTER ADSL/POTS + VPN,Inventario,2003,2003,unchanged,4,0
CISCO1812/K9,ROUTER DUAL ETHERNET + ISDN BACKUP,Inventario,2003,2003,unchanged,5,0
CISCO1841,CISCO ROUTER 1841,Inventario,2003,2003,unchanged,3,0
CISCO1841-HSEC/K9,"1841 BUNDLE W/AIM-VPN/SSL-1,ADV. IP SVCS,10 SSL LIC,64F/256D",Inventario,2003,2003,unchanged,15,0
CISCO1841-SEC/K9,"1841 SECURITY BUNDLE, ADV.SECURITY, 64FL/256DR",Inventario,2003,2003,unchanged,7,0
CISCO1921/K9,"C1921 MODULAR ROUTER, 2 GE, 2 EHWIC SLOTS, 512DRAM, IP BASE",Inventario,2003,2003,unchanged,11,0
CISCO1921-SEC/K9,"CISCO1921/K9 WITH 2GE, SEC LICENSE PAK, 512MB DRAM, 256MB Fl",Inventario,2003,2003,unchanged,11,0
CISCO1941/K9,"CISCO 1941 W/2 GE,2 EHWIC SLOTS,256MB CF,512MB DRAM,IP BASE",Inventario,2003,2003,unchanged,14,0
CISCO1941-SEC/K9,CISCO 1941 SECURITY BUNDLE W/SEC LICENSE PAK,Inventario,4005,4005,unchanged,8,0
CISCO2520,CISCO 2520 ROUTER,Inventario,2003,2003,unchanged,3,0
CISCO2650XM,HIGH PERFORMANCE 10/100 MODULAR ROUTER,Inventario,2003,2003,unchanged,6,0
CISCO2801,2801 ROUTER/AC PWR 2FE 4 SLOT (2H WICS) 2 AIMS,Inventario,2003,2003,unchanged,11,0
CISCO2801-SEC/K9,"2081 SECURITY BUNDLE, ADV SECUTITY",Inventario,2003,2003,unchanged,5,0
CISCO2801-V/K9,"2801 VOICE BUNDLE,PVDM2-8,SP SERV,64F/256D",Inventario,4005,4005,unchanged,9,0
CISCO2811,"2811 2FE,4HWICS,2PVDMS,1NME IP BASE",Inventario,2003,2003,unchanged,7,0
CISCO2811-AC-IP,2811 VOICE W/PVDM2-16,Inventario,4005,4005,unchanged,5,0
CISCO2811-CCME/K9,2811 VOICE BUNDLE W/PVDM2-16,Inventario,4005,4005,unchanged,6,0
CISCO2811-V/K9,"ROUTER 2811 VOICE BUN , PVDM 216, SP 64 F /256 D",Inventario,4005,4005,unchanged,11,0
CISCO2821,"2821 INTEG.SERV.ROUTER 2GE,4H WICS",Inventario,2003,2003,unchanged,7,0
CISCO2821-HSEC/K9,"2821 SECURITY BUNDLE,AIM-VPN-EPII-PLUS,ADV. IP SERV,64F/256D",Inventario,2003,2003,unchanged,12,0
CISCO2821-V/K9,"2821 VOICE BUNDLE, PVDM2-32, SP SERV, 64F/256D",Inventario,4005,4005,unchanged,9,0
CISCO2851,"2851 W/AC PWR,2GE,4HWIC,3PVDM,1NME-XD,2AIM,IP BASE,64F/256D",Inventario,2003,2003,unchanged,14,0
CISCO2901/K9,"CISCO2901 W/2 GE,4 EHWIC,2 DSP,256MB CF,512MB DRAM,IP BASE",Inventario,2003,2003,unchanged,14,0
CISCO2901/K9-RF,CISCO VOICE GATEWAY 2901,Inventario,4005,4005,unchanged,4,0
CISCO2901-SEC/K9,CISCO 2901 SECURITY BUNDLE W/SEC LICENSE PAK,Inventario,2003,2003,unchanged,8,0
CISCO2911/K9,"CISCO 2911 W/3 GE,4 EHWIC,2 DSP,1 SM,256MB CF,512MB DRAM,IPB",Inventario,2003,2003,unchanged,16,0
CISCO2911/K9-RF,CISCO VOICE GATEWAY 2911,Inventario,4005,4005,unchanged,4,0
CISCO2911-SEC/K9,CISCO 2911 SECURITY BUNDLE W/SEC LICENSE PAK,Inventario,2003,2003,unchanged,8,0
CISCO2911-V/K9-RF,"Cisco 2911 UC Bundle, PVDM3-16, UC LicensePAK REMANUFACTURED",Inventario,2003,2003,unchanged,9,0
CISCO2921/K9,"CISCO 2921 W/3 GE,4 EHWIC,3 DSP 1 SM,256MB CF,512MB DRAM,IPB",Inventario,2003,2003,unchanged,16,0
CISCO2921-V/K9,"CISCO 2921 UC BUNDLE, PVDM3-32, UC LICENSE PAK",Inventario,4005,4005,unchanged,9,0
CISCO2951/K9-RF,CISCO VOICE GATEWAY 2951,Inventario,4005,4005,unchanged,4,0
CISCO2951-V/K9,"CISCO 2951 VOICE BUNDLE, PVDM3-32, UC LICENSE PAK",Inventario,2003,2003,unchanged,9,0
CISCO3845,"3845 W/AC PWR,2GE,1SFP,4NME,4HWIC, IP BASE, 64F/256D",Inventario,2003,2003,unchanged,12,0
CISCO3925/K9,"CISCO 3925 W/SPE100(3GE,4EHWIC,4DSP,2SM,256MBCF,1GBDRAM,IPB)",Inventario,2003,2003,unchanged,11,0
CISCO3925-SEC/K9,CISCO 3925 SECURITY BUNDLE W/SEC LICENSE PAK,Inventario,6001,6001,unchanged,8,0
CISCO837-K9-64,CISCO 837 ADSL ROUTER - 64MB,Inventario,2003,2003,unchanged,5,0
CISCO877-K9,ADSL SECURITY ROUTER,Inventario,2003,2003,unchanged,3,0
CISCO887-K9,CISCO 887 ADSL2/2+ ANNEX A ROUTER,Inventario,2003,2003,unchanged,7,0
CISCO887VA-K9,CISCO 887 VDSL/ADSL OVER POTS MULTI-MODE ROUTER,Inventario,2003,2003,unchanged,9,0
CISCO887VA-SEC-K9,CISCO 887 VDSL/ADSL OVER POTS MULTI-MODE ROUTER W/ ADV IP,Inventario,2003,2003,unchanged,12,0
CISCO887V-K9,CISCO 887V VDSL2 OVER POTS ROUTER W/ ISDN B/U,Inventario,2003,2003,unchanged,10,0
CISCO-NETWORK-SUB,Cisco Networking Subscription,Non in inventario,2016,2016,unchanged,3,0
CI-SUBS-PRM-12-23M,"Cloud Insights Subs,PRM Ed,12-23 mo,MTH,QE",Inventario,3014,3014,unchanged,10,0
CI-SUBS-PRM-36M,"Cloud Insights Subs,PRM Ed,36 mo,MTH,QE",Non in inventario,3014,3014,unchanged,9,0
CIVS-HDD-750,750 GB SATA DRIVE FOR CIVS-MSP,Inventario,2013,2013,unchanged,7,0
CIVS-IPC-2500,CISCO 2500 IP CAMERA FULL RESOLUTION DAY/NIGHT,Inventario,2013,2013,unchanged,8,0
CIVS-IPC-4500,"CISCO 4500 IP CAMERA, HD, DSP, DAY/NIGHT",Inventario,2013,2013,unchanged,8,0
CIVS-IPC-VFM28-12,CISCO IP CAMERA LENS MEGAPIXEL 2.8-12MM FUJINON,Inventario,2013,2013,unchanged,9,0
CIVS-IPC-VT31,CISCO IP CAMERA TAMRON 3-11MM VARIFOCAL LENS,Inventario,2013,2013,unchanged,8,0
CIVS-MS-1SCFL,1 STREAM CONNECTION FEATURE LICENSE FOR MEDIA SERVER,Inventario,2013,2013,unchanged,8,0
CIVS-MSP-1RU,1RU MSP ASSEMBLY,Inventario,2013,2013,unchanged,3,0
CIVS-MS-SW6.1,CIVS-MS MEDIA SERVER V6.1 SOFTWARE WITH HARDWARE BUNDLE,Inventario,2013,2013,unchanged,10,0
CIVS-OM-SW4.1,CIVS-OM OPERATION MANAGER V4.1 SOFTWARE ONLY W/SMART SEARCH,Inventario,2013,2013,unchanged,11,0
CIVS-SG1BECOD-FE,CISCO VS 1-PORT ENCODER STANDALONE LIC.INCL.,Inventario,2013,2013,unchanged,8,0
CIVS-VM-1DFL,"CISCO VS VIRTUAL MATRIX CLIENT LICENSE, 1 CLIENT",Inventario,2013,2013,unchanged,8,0
CIVS-VM-SW6.0,CIVS-VM VIRTUAL MATRIX V6.0 SOFTWARE LICENSE,Inventario,2013,2013,unchanged,8,0
CJ001KR310D,AUTOM MOT DX CON INT ARRESTO,Inventario,3004,3004,unchanged,6,0
CJ588BL,PANDUIT PRESA CAT 5 PER PANNELLO,Inventario,1008,1008,unchanged,6,0
CJ5E88TGBL,RJ45 Cat 5E UTP serie TG nero,Inventario,1008,1008,unchanged,7,0
CJ688TGBL,"MINI-COM MODULE, CAT 6, UTP, 8POS 8 WIRE, UNIVERSAL",Inventario,1008,1008,unchanged,10,0
CJ688TGIW,"Jack RJ45-Cat.6 - Jack modulare universale 8 contatti, 8 pos",Inventario,1008,1008,unchanged,11,0
CJ6X88TGAW,"RJ45-Cat. 6 Augmented - Jack modulare universale 8 contatti,",Inventario,1008,1008,unchanged,9,0
CJ6X88TGBL,RJ45 Cat6A UTP serie TG 10G neri,Inventario,1008,1008,unchanged,7,0
CJ6X88TGIW,RJ45 CAT6A UTP SERIE TG 10G BIANCHI,Inventario,1008,1008,unchanged,7,0
